Country,Gold,Silver,Bronze
United States,39,41,33
Republic of China,38,32,18
Japan,27,14,17
Great Britain,22,21,22
Russia,20,28,23
Australia,17,7,22
Germany,10,11,16
Italy,10,10,20
France,10,12,11
Netherlands,10,12,14
New Zealand,7,6,7
Brazil,7,6,8
Cuba,7,3,5
Canada,7,6,11
Hungary,6,7,7
South Korea,6,4,10
Poland,4,5,5
Czechia,4,4,3
Kenya,4,4,2
Jamaica,4,1,4
Norway,4,2,2
Croatia,3,3,2
Spain,3,8,6
Belgium,3,1,3
Sweden,3,6,0
Denmark,3,4,4
Iran,3,2,2
Uzbekistan,3,0,2
Serbia,3,1,5
Slovenia,3,1,1
Switzerland,3,4,6
Bulgaria,3,1,2
Turkey,2,2,9
Ireland,2,0,2
Bahamas,2,0,0
Israel,2,0,2
Greece,2,1,1
Georgia,2,5,1
Ecuador,2,1,0
Uganda,2,1,1
Kosovo,2,0,0
Taiwan,2,4,6
Qatar,2,0,1
Estonia,1,0,1
Puerto Rico,1,0,0
Indonesia,1,1,3
Portugal,1,1,2
Hong Kong,1,2,3
Philippines,1,2,1
Romania,1,3,0
Venezuela,1,3,0
Ethiopia,1,1,2
Ukraine,1,6,12
Morocco,1,0,0
Belarus,1,3,3
Slovakia,1,2,1
Egypt,1,1,4
Bermuda,1,0,0
Fiji,1,0,1
Austria,1,1,5
Tunisia,1,1,0
Latvia,1,0,1
India,1,2,3
South Africa,1,2,0
Thailand,1,0,1
Armenia,0,2,2
Colombia,0,4,1
Kyrgyzstan,0,2,1
Mongolia,0,1,3
Dominican Republic,0,3,2
San Marino,0,1,2
Nigeria,0,1,1
Namibia,0,1,0
North Macedonia,0,1,0
Turkmenistan,0,1,0
Kazakhstan,0,0,8
Jordan,0,1,1
Mexico,0,0,4
Azerbaijan,0,3,4
Finland,0,0,2
Argentina,0,1,2
Burkina Faso,0,0,1
Ivory Coast,0,0,1
Ghana,0,0,1
Grenada,0,0,1
Kuwait,0,0,1
Malaysia,0,0,1
Syria,0,0,1
Moldova,0,0,1